x,kind,count
2022.3333333333333,Discussions,13
2022.3333333333333,Issues,9
2022.4166666666667,Discussions,7
2022.4166666666667,Issues,9
2022.5,Discussions,67
2022.5,Issues,30
2022.5,PRs,1
2022.5833333333333,Discussions,150
2022.5833333333333,Issues,21
2022.6666666666667,Discussions,112
2022.6666666666667,Issues,12
2022.75,Discussions,160
2022.75,Issues,12
2022.8333333333333,Discussions,143
2022.8333333333333,Issues,11
2022.9166666666667,Discussions,92
2022.9166666666667,Issues,4
2023,Discussions,89
2023,Issues,18
2023,PRs,2
2023.0833333333333,Discussions,115
2023.0833333333333,Issues,16
2023.1666666666667,Discussions,95
2023.1666666666667,Issues,11
2023.25,Discussions,120
2023.25,Issues,12
2023.3333333333333,Discussions,254
2023.3333333333333,Issues,197
2023.3333333333333,PRs,7
2023.4166666666667,Discussions,266
2023.4166666666667,Issues,150
2023.4166666666667,PRs,18
2023.5,Discussions,342
2023.5,Issues,147
2023.5,PRs,11
2023.5833333333333,Discussions,225
2023.5833333333333,Issues,123
2023.6666666666667,Discussions,220
2023.6666666666667,Issues,143
2023.6666666666667,PRs,12
2023.75,Discussions,175
2023.75,Issues,107
2023.75,PRs,1
2023.8333333333333,Discussions,264
2023.8333333333333,Issues,148
2023.8333333333333,PRs,5
2023.9166666666667,Discussions,133
2023.9166666666667,Issues,68
2024,Discussions,321
2024,Issues,145
2024,PRs,9
2024.0833333333333,Discussions,251
2024.0833333333333,Issues,142
2024.0833333333333,PRs,2
2024.1666666666667,Discussions,213
2024.1666666666667,Issues,123
2024.25,Discussions,246
2024.25,Issues,181
2024.25,PRs,5
2024.3333333333333,Discussions,174
2024.3333333333333,Issues,89
2024.3333333333333,PRs,5
2024.4166666666667,Discussions,246
2024.4166666666667,Issues,173
2024.4166666666667,PRs,20
2024.5,Discussions,166
2024.5,Issues,114
2024.5,PRs,5
2024.5833333333333,Discussions,158
2024.5833333333333,Issues,126
2024.5833333333333,PRs,4
2024.6666666666667,Discussions,189
2024.6666666666667,Issues,120
2024.75,Discussions,236
2024.75,Issues,128
2024.75,PRs,3
2024.8333333333333,Discussions,241
2024.8333333333333,Issues,82
2024.8333333333333,PRs,1
2024.9166666666667,Discussions,183
2024.9166666666667,Issues,62
2024.9166666666667,PRs,9
2025,Discussions,225
2025,Issues,141
2025,PRs,28
2025.0833333333333,Discussions,232
2025.0833333333333,Issues,131
2025.0833333333333,PRs,3
2025.1666666666667,Discussions,223
2025.1666666666667,Issues,140
2025.1666666666667,PRs,9
2025.25,Discussions,194
2025.25,Issues,105
2025.25,PRs,4
2025.3333333333333,Discussions,165
2025.3333333333333,Issues,59
2025.3333333333333,PRs,5
2025.4166666666667,Discussions,158
2025.4166666666667,Issues,98
2025.4166666666667,PRs,1
2025.5,Discussions,143
2025.5,Issues,112
2025.5,PRs,8
2025.5833333333333,Discussions,136
2025.5833333333333,Issues,77
2025.5833333333333,PRs,6
2025.6666666666667,Discussions,74
2025.6666666666667,Issues,78
2025.6666666666667,PRs,8
2025.75,Discussions,131
2025.75,Issues,78
2025.75,PRs,5
2025.8333333333333,Discussions,105
2025.8333333333333,Issues,55
2025.9166666666667,Discussions,70
2025.9166666666667,Issues,44
2025.9166666666667,PRs,18
2026,Discussions,82
2026,Issues,77
2026,PRs,50
2026.0833333333333,Discussions,78
2026.0833333333333,Issues,82
2026.0833333333333,PRs,21
2026.1666666666667,Discussions,79
2026.1666666666667,Issues,88
2026.1666666666667,PRs,3
2026.25,Discussions,83
2026.25,Issues,127
2026.25,PRs,2
2026.3333333333333,Discussions,73
2026.3333333333333,Issues,40
2026.3333333333333,PRs,3
2026.4166666666667,Discussions,23
2026.4166666666667,Issues,16
